row	col	ECM	ligA	ligB	ligC	ligD	protE	protF	prodA	prodB	prodC	prodD	type
1	100	0.0385467968729816	0.833993886573832	0.0157389243393093	0.235623943403645	1.18272229213153	1.17783892215009	2.54724071162343	0.382144472952932	0	0	0.587996903900057	CT1
1	11	0.0326602389113469	0.118782696471218	0.0103915466982267	0.804264888646961	0.10051375552468	0	0.386030224724459	0	0	0.535805204883218	0	CT2
1	13	0.14441839410627	0.524543897957326	0.0140457683972563	0.33395151768781	0.433790853129556	1.66929846256363	1.61371091647165	0.472195308413357	0	0	0.378996160952374	CT1
1	14	0.38700714561127	0.268938341080721	0.0367317751981449	0.502025303047614	0.240916838328746	0	0.912584110415335	0	0	0.418434863863513	0	CT2
1	15	0.163465086100434	0.195317767364166	0.117589526477991	0.232160901576726	0.202900545175415	0	0.162344226176212	0	0.16001598963559	0	0	CT4
1	20	0.203294971161932	0.17770690437148	0.0246704697446804	0.738442793815801	0.236281411847098	0	0.603020316536594	0	0	0.555470542097464	0	CT2
1	23	0.200119691726794	0.169938384142588	0.122021505936071	0.715439294181357	0.245987796036872	0	0.861695396874921	0	0	0.49575450248085	0	CT2
1	24	0.0642163440731065	0.162130077085306	0.0999127108784919	0.5485255348176	0.243169469411066	0	0.0635682641499487	0	0.0623274148864939	0	0	CT4
1	26	0.0331000458156865	0.229431877506302	0.0403924986445158	0.246438708400593	0.37846778556024	0	0.0328077426805556	0	0.0321757981816489	0	0	CT4
1	32	0.267640001230354	0.145717144796789	0.0186421139357814	0.944380825798249	0.232175790609509	0	0.48991810100009	0	0	0.583196372049861	0	CT2
1	35	0.0195689797790757	0.164788247640848	0.00198013236611225	1.02325066921701	0.217359041972215	0	0.499746048851614	0	0	0.607404166995548	0	CT2
1	36	0.00918204997669624	0.19158557375356	0.00198252970512798	1.17759642530534	0.233313750588405	0	0.580188170995263	0	0	0.556091985898092	0	CT2
1	38	0.0152899018515783	0.452183306190591	0.00454068409341321	0.491632360947188	0.579320528726134	2.45743926458186	1.36937179177506	0.33365909120068	0	0	0.472512483899482	CT1
1	39	0.0388679929634624	0.48114182171958	0.00338685817804531	0.401109361527823	0.544411282675303	2.00488084123285	1.45290180818842	0.416399035025388	0	0	0.437318398617208	CT1
1	4	0.167125768846982	0.445283572081978	0.00162102866128547	0.102813119453159	0.56416880156373	0.513714037026134	1.3402651838349	0.400966394934803	0	0	0.488984949188307	CT1
